"Últimos Ajustes",Diesel A (R$/litro),Gasolina A (R$/litro)
10/04/2018,"1,8729","1,6444"
07/04/2018,"1,8646","1,6452"
06/04/2018,"1,8867","1,6473"
05/04/2018,"1,8696","1,6448"
04/04/2018,"1,8578","1,6581"
03/04/2018,"1,8835","1,6783"
30/03/2018,"1,8884","1,6783"
29/03/2018,"1,8884","1,6783"
28/03/2018,"1,8688","1,6643"
27/03/2018,"1,8702","1,6557"
24/03/2018,"1,8475","1,6431"
23/03/2018,"1,8565","1,6404"
22/03/2018,"1,8181","1,6253"
21/03/2018,"1,7751","1,5960"
20/03/2018,"1,7862","1,6048"
17/03/2018,"1,7657","1,5879"
16/03/2018,"1,7478","1,5648"
15/03/2018,"1,7342","1,5415"
14/03/2018,"1,7331","1,5537"
13/03/2018,"1,7583","1,5608"
10/03/2018,"1,7301","1,5353"
09/03/2018,"1,7310","1,5458"
08/03/2018,"1,7539","1,5676"
07/03/2018,"1,7645","1,5923"
06/03/2018,"1,7500","1,5842"
03/03/2018,"1,7463","1,5948"
02/03/2018,"1,7495","1,6105"
01/03/2018,"1,8017","1,6023"
28/02/2018,"1,8205","1,5786"
27/02/2018,"1,8030","1,5623"
